7179c000-7179d000 rw-p 00003000 fe:0a 1343                               /system/framework/arm64/boot-framework-ondeviceintelligence-platform.oat
7179d000-717cb000 r--p 00000000 fe:0a 1301                               /system/framework/arm64/boot-core-icu4j.oat
717cb000-7188c000 r-xp 0002e000 fe:0a 1301                               /system/framework/arm64/boot-core-icu4j.oat
7188c000-7188d000 rw-p 00000000 00:00 0                                  [anon:.bss]
7188d000-71896000 rw-p 00000000 fe:0a 1395                               /system/framework/boot-core-icu4j.vdex
71896000-71897000 r--p 000ef000 fe:0a 1301                               /system/framework/arm64/boot-core-icu4j.oat
71897000-71898000 rw-p 000f0000 fe:0a 1301                               /system/framework/arm64/boot-core-icu4j.oat
71898000-72167000 rw-p 00000000 00:00 0 
72167000-7217e000 r--p 00000000 fe:38 4731                               /data/misc/apexdata/com.android.art/dalvik-cache/arm64/boot-framework-adservices.oat
7217e000-721ae000 rw-p 00000000 fe:38 4804                               /data/misc/apexdata/com.android.art/dalvik-cache/arm64/boot-framework-adservices.vdex
721ae000-721af000 r--p 00017000 fe:38 4731                               /data/misc/apexdata/com.android.art/dalvik-cache/arm64/boot-framework-adservices.oat
721af000-721b0000 rw-p 00018000 fe:38 4731                               /data/misc/apexdata/com.android.art/dalvik-cache/arm64/boot-framework-adservices.oat
721b0000-727d6000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
727d6000-727d7000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
727d7000-7292b000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
7292b000-751b1000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
751b1000-761b0000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
5eef400000-5eefc19000 rw-s 5eef400000 00:11 513                          /dev/mali0
5ef0a00000-5ef0f11000 rw-s 5ef0a00000 00:11 513                          /dev/mali0
5ef4e00000-5ef5725000 rw-s 5ef4e00000 00:11 513                          /dev/mali0
5ef5800000-5ef6019000 rw-s 5ef5800000 00:11 513                          /dev/mali0
5ef6200000-5ef6a01000 rw-s 5ef6200000 00:11 513                          /dev/mali0
5ef6f1a000-5ef708d000 rw-s 5ef6f1a000 00:11 513                          /dev/mali0
5ef708d000-5ef7200000 rw-s 5ef708d000 00:11 513                          /dev/mali0
5ef7200000-5ef7a19000 rw-s 5ef7200000 00:11 513                          /dev/mali0
5ef7a8d000-5ef7c00000 rw-s 5ef7a8d000 00:11 513                          /dev/mali0
5ef7c00000-5ef8001000 rw-s 5ef7c00000 00:11 513                          /dev/mali0
5ef80c1000-5ef8234000 rw-s 5ef80c1000 00:11 513                          /dev/mali0
5ef8234000-5ef83a7000 rw-s 5ef8234000 00:11 513                          /dev/mali0
5ef83a7000-5ef851a000 rw-s 5ef83a7000 00:11 513                          /dev/mali0
5ef851a000-5ef868d000 rw-s 5ef851a000 00:11 513                          /dev/mali0
5ef868d000-5ef8800000 rw-s 5ef868d000 00:11 513                          /dev/mali0
5ef8800000-5ef9019000 rw-s 5ef8800000 00:11 513                          /dev/mali0
5ef9034000-5ef91a7000 rw-s 5ef9034000 00:11 513                          /dev/mali0
5ef91a7000-5ef931a000 rw-s 5ef91a7000 00:11 513                          /dev/mali0
5ef931a000-5ef948d000 rw-s 5ef931a000 00:11 513                          /dev/mali0
5ef948d000-5ef9600000 rw-s 5ef948d000 00:11 513                          /dev/mali0
5ef9600000-5ef9df9000 rw-s 5ef9600000 00:11 513                          /dev/mali0
5ef9f1a000-5efa08d000 rw-s 5ef9f1a000 00:11 513                          /dev/mali0
5efa08d000-5efa200000 rw-s 5efa08d000 00:11 513                          /dev/mali0
5efa200000-5efa601000 rw-s 5efa200000 00:11 513                          /dev/mali0
5efa68d000-5efa800000 rw-s 5efa68d000 00:11 513                          /dev/mali0
5efa800000-5efb25e000 rw-s 5efa800000 00:11 513                          /dev/mali0
5efb28d000-5efb400000 rw-s 5efb28d000 00:11 513                          /dev/mali0
5efb400000-5efbe5e000 rw-s 5efb400000 00:11 513                          /dev/mali0
5efbe8d000-5efc000000 rw-s 5efbe8d000 00:11 513                          /dev/mali0
5efc000000-5efc209000 rw-s 5efc000000 00:11 513                          /dev/mali0
5efc28d000-5efc400000 rw-s 5efc28d000 00:11 513                          /dev/mali0
5efc400000-5efc7d0000 rw-s 5efc400000 00:11 513                          /dev/mali0
5efc800000-5efca01000 rw-s 5efc800000 00:11 513                          /dev/mali0
5efca0d000-5efca4d000 rw-s 5efca0d000 00:11 513                          /dev/mali0
5efca4d000-5efca8d000 rw-s 5efca4d000 00:11 513                          /dev/mali0
5efca8d000-5efcc00000 rw-s 5efca8d000 00:11 513                          /dev/mali0
5efcc00000-5efce21000 rw-s 5efcc00000 00:11 513                          /dev/mali0
5efce4d000-5efce8d000 rw-s 5efce4d000 00:11 513                          /dev/mali0
5efd000000-5efda1f000 rw-s 5efd000000 00:11 513                          /dev/mali0
5efda2d000-5efda4d000 rw-s 5efda2d000 00:11 513                          /dev/mali0
5efda4d000-5efda6d000 rw-s 5efda4d000 00:11 513                          /dev/mali0
5efda6d000-5efda8d000 rw-s 5efda6d000 00:11 513                          /dev/mali0
5efda8d000-5efdc00000 rw-s 5efda8d000 00:11 513                          /dev/mali0
5efdc00000-5efe61f000 rw-s 5efdc00000 00:11 513                          /dev/mali0
5efe623000-5efe643000 rw-s 5efe623000 00:11 513                          /dev/mali0
5efe643000-5efe663000 rw-s 5efe643000 00:11 513                          /dev/mali0
5efe663000-5efe683000 rw-s 5efe663000 00:11 513                          /dev/mali0
5efe683000-5efe6a3000 rw-s 5efe683000 00:11 513                          /dev/mali0
5efe6a3000-5efe6c3000 rw-s 5efe6a3000 00:11 513                          /dev/mali0
5efe6c3000-5efe6d4000 rw-s 5efe6c3000 00:11 513                          /dev/mali0
5efe6d4000-5efe714000 ---s 5efe6d4000 00:11 513                          /dev/mali0
5efe714000-5efe720000 rw-s 5efe714000 00:11 513                          /dev/mali0
5efe720000-5efe740000 rw-s 5efe720000 00:11 513                          /dev/mali0
5efe75c000-5efe75d000 rw-s 5efe75c000 00:11 513                          /dev/mali0
5efe75d000-5efe75e000 rw-s 5efe75d000 00:11 513                          /dev/mali0
5efe75e000-5efe75f000 rw-s 5efe75e000 00:11 513                          /dev/mali0
5efe75f000-5efe760000 rw-s 5efe75f000 00:11 513                          /dev/mali0
5efe760000-5efe761000 rw-s 5efe760000 00:11 513                          /dev/mali0
5efe769000-5efe76a000 rw-s 5efe769000 00:11 513                          /dev/mali0
5efe76a000-5efe76b000 rw-s 5efe76a000 00:11 513                          /dev/mali0
5efe76b000-5efe76c000 rw-s 5efe76b000 00:11 513                          /dev/mali0
5efe76d000-5efe77e000 rw-s 5efe76d000 00:11 513                          /dev/mali0
5efe77e000-5efe78f000 rw-s 5efe77e000 00:11 513                          /dev/mali0
5efe79f000-5efe7bf000 rw-s 5efe79f000 00:11 513                          /dev/mali0
5efe7bf000-5efe7e0000 rw-s 5efe7bf000 00:11 513                          /dev/mali0
5efe7e0000-5efe800000 rw-s 5efe7e0000 00:11 513                          /dev/mali0
5efe800000-5eff21f000 rw-s 5efe800000 00:11 513                          /dev/mali0
5eff21f000-5eff23f000 rw-s 5eff21f000 00:11 513                          /dev/mali0
5eff23f000-5eff25f000 rw-s 5eff23f000 00:11 513                          /dev/mali0
5eff25f000-5eff27f000 rw-s 5eff25f000 00:11 513                          /dev/mali0
5eff27f000-5eff29f000 rw-s 5eff27f000 00:11 513                          /dev/mali0
5eff29f000-5eff2bf000 rw-s 5eff29f000 00:11 513                          /dev/mali0
5eff2bf000-5eff2df000 rw-s 5eff2bf000 00:11 513                          /dev/mali0
5eff2df000-5eff2ff000 rw-s 5eff2df000 00:11 513                          /dev/mali0
5eff2ff000-5eff400000 rw-s 5eff2ff000 00:11 513                          /dev/mali0
5eff400000-5effe1f000 rw-s 5eff400000 00:11 513                          /dev/mali0
5effe20000-5effe21000 rw-s 5effe20000 00:11 513                          /dev/mali0
5effe21000-5effe22000 rw-s 5effe21000 00:11 513                          /dev/mali0
5effe22000-5effe23000 rw-s 5effe22000 00:11 513                          /dev/mali0
5effe23000-5effe24000 rw-s 5effe23000 00:11 513                          /dev/mali0
5effe24000-5effe25000 rw-s 5effe24000 00:11 513                          /dev/mali0
5effe25000-5effe26000 rw-s 5effe25000 00:11 513                          /dev/mali0
5effe26000-5effe27000 rw-s 5effe26000 00:11 513                          /dev/mali0
5effe27000-5effe28000 rw-s 5effe27000 00:11 513                          /dev/mali0
5effe28000-5effe29000 rw-s 5effe28000 00:11 513                          /dev/mali0
5effe29000-5effe2a000 rw-s 5effe29000 00:11 513                          /dev/mali0
5effe2a000-5effe2b000 rw-s 5effe2a000 00:11 513                          /dev/mali0
5effe2b000-5effe2c000 rw-s 5effe2b000 00:11 513                          /dev/mali0
5effe2c000-5effe2d000 rw-s 5effe2c000 00:11 513                          /dev/mali0
5effe2d000-5effe2e000 rw-s 5effe2d000 00:11 513                          /dev/mali0
5effe2e000-5effe2f000 rw-s 5effe2e000 00:11 513                          /dev/mali0
5effe30000-5effe31000 rw-s 5effe30000 00:11 513                          /dev/mali0
5effe31000-5effe32000 rw-s 5effe31000 00:11 513                          /dev/mali0
5effe32000-5effe52000 rw-s 5effe32000 00:11 513                          /dev/mali0
5effe52000-5effe53000 rw-s 5effe52000 00:11 513                          /dev/mali0
5effe53000-5effe54000 rw-s 5effe53000 00:11 513                          /dev/mali0
5effe54000-5effe55000 rw-s 5effe54000 00:11 513                          /dev/mali0
5effe55000-5effe56000 rw-s 5effe55000 00:11 513                          /dev/mali0
5effe56000-5effe57000 rw-s 5effe56000 00:11 513                          /dev/mali0
5effe57000-5effe77000 rw-s 5effe57000 00:11 513                          /dev/mali0
5effe77000-5effe78000 rw-s 5effe77000 00:11 513                          /dev/mali0
5effe78000-5effe79000 rw-s 5effe78000 00:11 513                          /dev/mali0
5effe79000-5effe7a000 rw-s 5effe79000 00:11 513                          /dev/mali0
